,artists,artist_id,Active Years,Followers(Mn.),old_school,danceability,energy,mode,speechiness,acousticness,instrumentalness,liveness,valence,artist_followers,artist_popularity,release year
0, Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,1971-1971,4.18,1,0.5425,0.7109166666666668,0.8333333333333334,0.04218333333333333,0.2819333333333333,0.0093319075,0.23450000000000001,0.7399166666666667,4177030.0,77.0,1971.0
1, Jul,3IW7ScrzXmPvZhB27hmfgy,2019-2019,3.73,1,0.71,0.699,0.0,0.1,0.327,4.64e-06,0.0975,0.484,3730702.0,82.0,2019.0
2, Marco Antonio Solís,3tJnB0s6c3oXPq1SCCavnd,1992-2012,3.78,1,0.488,0.544,1.0,0.030633333333333332,0.426,0.0,0.2793333333333334,0.5073333333333333,3779300.0,77.0,2004.0
3, Mitiska & Jaren,0354HXTl54ZpliZQ3hDFXf,2007-2009,0.0,1,0.596,0.796,0.0,0.0334,0.0455,0.222,0.326,0.58,50.0,19.0,2007.0
6, Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,2016-2016,3.56,1,0.514,0.434,1.0,0.0285,0.156,0.0,0.0939,0.338,3559655.0,75.0,2016.0
7, Ninho,6Te49r3A6f5BiIgBRxH7FH,2018-2018,4.34,1,0.8254999999999999,0.5974999999999999,0.5,0.442,0.305,0.0,0.1,0.534,4343883.0,82.0,2018.0
8, Phil Collins,4lxfqrEsLX6N1N4OCSkILp,1999-1999,3.6,1,0.751,0.719,1.0,0.144,0.167,0.0461,0.38,0.568,3595656.0,80.0,1999.0
9, Sean Paul,3Isy6kedDrgPYoTS1dazA9,2007-2007,3.41,1,0.653,0.683,1.0,0.133,0.0269,0.0,0.0598,0.781,3411549.0,83.0,2007.0
10, T.I.,4OBJLual30L7gRl5UkeRcT,2004-2004,3.7,1,0.878,0.417,1.0,0.361,0.0444,0.0,0.0833,0.904,3701277.0,79.0,2004.0
11, The Creator,13ubrt8QOOCPljQ2FL1Kca,2011-2018,9.02,1,0.622,0.5485,1.0,0.3775,0.3225,0.0,0.16749999999999998,0.41400000000000003,9024285.0,86.0,2017.5
18, Wisin,3E6xrwgnVfYCrCs0ePERDz,2015-2015,6.59,1,0.712,0.785,1.0,0.188,0.108,0.0,0.653,0.527,6592838.0,88.0,2015.0
19,2 Chainz,17lzZA2AlOHwCwFALHttmp,2012-Ongoing,6.27,0,0.7209032258064516,0.626774193548387,0.7741935483870968,0.28728709677419356,0.07727290322580645,9.358064516129033e-05,0.2155,0.5360645161290323,6267865.0,83.0,2014.0967741935483
20,21 Savage,1URnnhqYAYcrqrcwql10ft,2016-Ongoing,9.48,0,0.7903333333333334,0.5764761904761905,0.5238095238095238,0.25382380952380956,0.12228000000000001,0.040220047619047614,0.16195714285714286,0.36722380952380956,9478827.0,87.0,2018.047619047619
