,artists,artist_id,artist_followers,artist_genres,artist_popularity,id track,name,popularity,duration ms,explicit,release date,release year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature
1607,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",100.0,01BlGnXpLuC0BjgUxVYZFb,Never Let You Go,58,264400,0,1/1/2010,2010,0.66,0.811,0,-4.852,1,0.0357,0.00141,1.17e-06,0.251,0.675,103.191,4
97,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",100.0,004sbHg1qMzdrDXdxJpkj1,Heartbreaker - Single Version,5,262840,0,4/2/2021,2021,0.568,0.517,6,-7.316,0,0.0894,0.146,0.0,0.343,0.578,104.441,4
2384,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",100.0,01TuObJVd7owWchVRuQbQw,#thatPOWER,70,279507,0,1/1/2013,2013,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,4
2504,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",100.0,01W9YsgZlN5aVuKWD7F4ZN,Sorry,16,200787,0,4/9/2021,2021,0.679,0.748,0,-3.624,0,0.0385,0.0878,0.0,0.299,0.438,100.035,4
1798,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",100.0,01ger8hoR0K6zAStAad5Nt,Anyone,13,190779,0,4/2/2021,2021,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
2559,Eminem,7dGJo4pcD2V6oG8kP0tJRR,43747833.0,"['detroit hip hop', 'hip hop', 'rap']",94.0,01xhMrdCefADl7HSttJaf7,Infinite,57,251707,1,11/12/1996,1996,0.637,0.862,10,-4.343,0,0.191,0.293,0.0,0.217,0.573,82.019,4
2230,Taylor Swift,06HL4z0CvFAxyc27GXpf02,38869193.0,"['pop', 'post-teen pop']",98.0,01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version) (Taylor’s Version),75,267833,0,4/9/2021,2021,0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753,4
2149,Queen,1dfeR4HaWDbWqFHLkxsg1d,33483326.0,"['classic rock', 'glam rock', 'rock']",89.0,01OkBP9VZeIxmtVkUNyGRe,"I'm In Love With My Car - Live, European Tour / 1979",29,121893,0,6/22/1979,1979,0.243,0.855,7,-9.089,1,0.083,0.00104,0.000103,0.532,0.326,156.241,3
3351,Queen,1dfeR4HaWDbWqFHLkxsg1d,33483326.0,"['classic rock', 'glam rock', 'rock']",89.0,02lvTeAFIIsOd0wVNoRkQ5,Who Needs You - Remastered 2011,40,186853,0,10/28/1977,1977,0.863,0.381,9,-12.823,1,0.0528,0.261,0.000277,0.202,0.906,120.645,4
3561,Queen,1dfeR4HaWDbWqFHLkxsg1d,33483326.0,"['classic rock', 'glam rock', 'rock']",89.0,02qVskBy5iJZcJD9kNYxhA,She Makes Me (Stormtrooper In Stilettos) - Remastered 2011,26,249200,0,11/8/1974,1974,0.46,0.534,2,-7.676,1,0.0257,0.175,0.000251,0.119,0.37,77.033,4
