name,artists,release year,release date,popularity,artist_popularity,artist_followers
Lego House,Ed Sheeran,2011,9/9/2011,59,92.0,78900234.0
I Was Made For Loving You,Ed Sheeran,2016,1/29/2016,64,92.0,78900234.0
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,5/24/2019,69,92.0,78900234.0
Happier,Ed Sheeran,2017,3/3/2017,83,92.0,78900234.0
Perfect,Ed Sheeran,2021,4/2/2021,19,92.0,78900234.0
Small Bump,Ed Sheeran,2011,9/9/2011,42,92.0,78900234.0
Perfect - Acoustic,Ed Sheeran,2017,11/10/2017,65,92.0,78900234.0
Cold Coffee,Ed Sheeran,2014,6/23/2014,54,92.0,78900234.0
Autumn Leaves - Deluxe Edition,Ed Sheeran,2011,9/9/2011,58,92.0,78900234.0
Everything Has Changed,Ed Sheeran,2012,10/22/2012,68,92.0,78900234.0
Kiss Me,Ed Sheeran,2011,9/9/2011,51,92.0,78900234.0
End Game,Ed Sheeran,2017,11/10/2017,72,92.0,78900234.0
Perfect Symphony (Ed Sheeran & Andrea Bocelli),Ed Sheeran,2017,12/15/2017,69,92.0,78900234.0
Thinking out Loud,Ed Sheeran,2014,6/21/2014,84,92.0,78900234.0
Lego House,Ed Sheeran,2011,9/9/2011,51,92.0,78900234.0
BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,2019,7/5/2019,68,92.0,78900234.0
Sing,Ed Sheeran,2014,6/21/2014,71,92.0,78900234.0
Sing,Ed Sheeran,2015,11/13/2015,48,92.0,78900234.0
One,Ed Sheeran,2014,6/21/2014,65,92.0,78900234.0
Gold Rush - Deluxe Edition,Ed Sheeran,2011,9/9/2011,52,92.0,78900234.0
Tenerife Sea,Ed Sheeran,2015,11/13/2015,62,92.0,78900234.0
Give Me Love,Ed Sheeran,2011,9/9/2011,48,92.0,78900234.0
I'm a Mess,Ed Sheeran,2015,11/13/2015,48,92.0,78900234.0
Bloodstream,Ed Sheeran,2014,6/21/2014,68,92.0,78900234.0
Photograph,Ed Sheeran,2014,6/21/2014,85,92.0,78900234.0
Afterglow,Ed Sheeran,2020,12/21/2020,88,92.0,78900234.0
Small Bump,Ed Sheeran,2011,9/9/2011,43,92.0,78900234.0
Shape of You - Acoustic,Ed Sheeran,2017,2/10/2017,65,92.0,78900234.0
U.N.I.,Ed Sheeran,2011,9/9/2011,55,92.0,78900234.0
Lay It All on Me (feat. Ed Sheeran),Ed Sheeran,2015,10/2/2015,60,92.0,78900234.0
Everything Has Changed,Ed Sheeran,2012,10/22/2012,57,92.0,78900234.0
I Was Made For Loving You,Ed Sheeran,2016,1/29/2016,54,92.0,78900234.0
Antisocial (with Travis Scott),Ed Sheeran,2019,7/12/2019,68,92.0,78900234.0
Best Part of Me (feat. YEBBA),Ed Sheeran,2019,7/5/2019,70,92.0,78900234.0
I'm a Mess,Ed Sheeran,2014,6/21/2014,67,92.0,78900234.0
Don't,Ed Sheeran,2014,6/21/2014,73,92.0,78900234.0
Photograph,Ed Sheeran,2015,11/13/2015,53,92.0,78900234.0
Lego House,Ed Sheeran,2011,9/9/2011,73,92.0,78900234.0
Thinking out Loud,Ed Sheeran,2013,2013,68,92.0,78900234.0
Nina,Ed Sheeran,2014,6/21/2014,58,92.0,78900234.0
The A Team,Ed Sheeran,2011,9/9/2011,77,92.0,78900234.0
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2017,11/30/2017,75,92.0,78900234.0
How Would You Feel (Paean),Ed Sheeran,2017,3/3/2017,70,92.0,78900234.0
Photograph,Ed Sheeran,2013,2013,55,92.0,78900234.0
Thinking out Loud,Ed Sheeran,2013,2013,48,92.0,78900234.0
The A Team - Acoustic,Ed Sheeran,2011,6/10/2011,48,92.0,78900234.0
